"","participant","group","det_1back_target","det_2back_target","det_3back_target","det_4back_target","det_1back_trial","det_2back_trial","det_3back_trial","det_4back_trial"
"1","101","Blocked",0.998349869100372,0.996053418811975,0.976966799541286,0.931577769622963,0.99728047708215,0.994634121874179,0.987637872696925,0.974923052439185
"2","102","Random",0.774031367295138,0.591740662673588,0.430784048098257,0.272624583109,0.999483762846787,0.99603035014529,0.967766514453819,0.935827911076489
"3","103","Blocked",0.902807156350728,0.82815941953622,0.737837473567399,0.654632794878578,0.910100213689421,0.846515363341261,0.76382911664401,0.692148078874663
"4","104","Random",0.99549242668154,0.978078538700618,0.955911671670564,0.92763505252986,0.999325062484999,0.99076996878549,0.979481860401839,0.954086741137071
"5","105","Blocked",0.994983512326528,0.975936578360352,0.958499981305507,0.943275441935813,0.994595068606158,0.975712581070676,0.954921593823738,0.93425314143732
"6","106","Random",0.936957811281006,0.894323156010343,0.854335022548864,0.816525738746066,0.998135662508022,0.944207658465885,0.876939131833305,0.821357391898007
"7","107","Blocked",0.981591492384295,0.984592416854242,0.973094628804346,0.961802313378154,0.983116290008865,0.985480773636228,0.976774275918807,0.968427541357089
"8","108","Random",0.935644480452112,0.868940569802298,0.814930432804302,0.747950385077262,0.953059911691941,0.90625323484348,0.852015364612064,0.810090881511656
"9","109","Blocked",0.989888576163225,0.981260943005873,0.966025613766044,0.945721232185993,0.988185822925103,0.978396460181334,0.96311868553759,0.944052775009699
"10","110","Random",0.982197867358505,0.966183067872779,0.941588568382171,0.916425276278735,0.992946639701489,0.98403564140031,0.968499563229683,0.948837170134005
"11","111","Blocked",0.993076646431549,0.939363223477799,0.887041347518569,0.838529866417014,0.993196924107917,0.943503493833649,0.896074696834155,0.850704597787529
"12","112","Random",0.988997075510234,0.970258007224572,0.933636169698163,0.890201984783097,0.993661097527456,0.986294932474221,0.94691028848164,0.89698342964039
"13","113","Blocked",0.999998874464714,0.99955194437105,0.98025781603773,0.951645567674202,0.999988194456367,0.999151653150102,0.971679749544376,0.933144141820605
"14","114","Random",0.996230486462556,0.982441466869152,0.963172155987904,0.944012011406059,0.983734451916771,0.954520474857917,0.924723275914953,0.86977419235062
"15","115","Blocked",0.994462241336729,0.955178675201309,0.903843649899591,0.844906458191217,0.992833380202464,0.955550575293019,0.919742816504439,0.878651850257967
"16","116","Random",0.905541495527532,0.818536749071734,0.69542480252679,0.583064854280216,0.976524135438545,0.910359524920997,0.851908173796697,0.805428148445368
"17","117","Blocked",0.975630148682289,0.964669652138811,0.940039579277706,0.918700130079882,0.978854825595228,0.969826972925407,0.950877648718731,0.933024805718744
"18","118","Random",0.970745793038223,0.927438251413237,0.869508368204196,0.788941978190831,0.948543173824849,0.902780914497375,0.863136411033475,0.830520920988997
"19","119","Blocked",0.973963399999664,0.943148269379778,0.876424375297117,0.815265458629507,0.969648749855257,0.936500780548281,0.884140482922368,0.831817048413963
"20","120","Random",0.98480865927006,0.963376557441943,0.940317836320526,0.916428688713051,0.995143101049466,0.990332391310321,0.969511476661578,0.94754581066266
"21","121","Blocked",0.890051748131349,0.763485397109857,0.663191681708501,0.564361508529103,0.88774835765577,0.764444061517467,0.664025596947012,0.569816558252817
"22","122","Random",0.936318037871347,0.872907590484393,0.793486998787286,0.718731376204337,0.947459557940089,0.868984540980755,0.795698471117839,0.718060512470007
"23","123","Random",0.990035850898526,0.958166838398242,0.909241074247629,0.854836051032527,0.997852684087109,0.988014492212666,0.954658643988546,0.914876610496716
"24","124","Blocked",0.99732913994533,0.993412138211256,0.947653916293261,0.901385967351607,0.997887035264156,0.995005879864941,0.952042834644789,0.90652489478299
"25","125","Blocked",0.984780552631546,0.972458229310705,0.899346971744485,0.824740215452433,0.985184637118001,0.972174304791378,0.914428635952837,0.855256357300157
"26","126","Random",0.84528344430695,0.690243217111893,0.556997519506619,0.456622132836287,0.983650491533602,0.948425079085345,0.904787907982014,0.847271976494589
"27","127","Blocked",0.994159588531328,0.934281472770479,0.88868796274063,0.844135347389286,0.99516687902723,0.939006835210273,0.890936728111571,0.847288061270224
"28","128","Random",0.98586450250246,0.96907510538594,0.915425822485067,0.868149811253581,0.997862018233586,0.994913237440707,0.991553253240912,0.973687307831456
"29","129","Blocked",0.988912723172256,0.976912945530084,0.965113159034499,0.950994944764784,0.989093730122289,0.977637070675737,0.966851518732147,0.953600554152758
"30","130","Random",0.935043007495536,0.834531853345512,0.73224209409732,0.617172034829884,0.992419398146973,0.96942491382496,0.952686790910084,0.942214856527864
"31","131","Blocked",0.985057047326934,0.956015193079609,0.920135207603979,0.883611193898581,0.989135868000963,0.964701308497976,0.934175737305178,0.905867017557367
"32","132","Random",0.91086663582977,0.812785441321534,0.715569315035681,0.625239100977358,0.959219152170275,0.88516909023878,0.782810358515405,0.661418866829975
"33","133","Blocked",0.999812089645261,0.999483806120565,0.989621155215129,0.975818022668538,0.999794935444569,0.999563994767731,0.991783657678337,0.981215862659404
"34","134","Random",0.967607578930166,0.92695435696548,0.886449354098988,0.842922999827082,0.99980245894373,0.997739534246747,0.991637734386887,0.974954266105523
"35","135","Blocked",0.999229569065438,0.991345597795478,0.969386963458929,0.946860666031553,0.999859978970136,0.992260802422926,0.970296002876958,0.949349778934623
"36","136","Random",0.985988475712169,0.899345717515365,0.827457319463203,0.76407377951992,0.990251077421807,0.947291165756754,0.894740706916651,0.825874269337222
"37","137","Blocked",0.990395520267007,0.979273355465115,0.934059027994255,0.888470527833497,0.991530032145053,0.98444010458348,0.938905855302611,0.896471498583055
