"","participant","group","lag","det_target","det_trial","explained_variance_target","explained_variance_trial","log_exp_var_target","log_exp_var_trial","var_diff","det_diff"
"1","101","Blocked","1back",0.998349869100372,0.99728047708215,0.0016501308996284,0.00271952291785027,0.0016487709295157,0.00271583170610876,-0.00106706077659305,-0.00106706077659305
"2","101","Blocked","2back",0.996053418811975,0.994634121874179,0.00394658118802493,0.00536587812582079,0.00393881386602558,0.00535153309470192,-0.00141271922867634,-0.00141271922867634
"3","101","Blocked","3back",0.976966799541286,0.987637872696925,0.023033200458714,0.012362127303075,0.0227719404592074,0.0122863401616398,0.0104856002975676,0.0104856002975676
"4","101","Blocked","4back",0.931577769622963,0.974923052439185,0.0684222303770372,0.0250769475608155,0.0661830092040289,0.0247676805637402,0.0414153286402888,0.0414153286402888
"5","102","Random","1back",0.774031367295138,0.999483762846787,0.225968632704862,0.000516237153213028,0.203731252117272,0.000516103948655306,0.203215148168617,0.203215148168617
"6","102","Random","2back",0.591740662673588,0.99603035014529,0.408259337326412,0.00396964985471038,0.342354429217296,0.003961791584249,0.338392637633047,0.338392637633047
"7","102","Random","3back",0.430784048098257,0.967766514453819,0.569215951901743,0.0322334855461808,0.450576100928498,0.0317248871539595,0.418851213774539,0.418851213774539
"8","102","Random","4back",0.272624583109,0.935827911076489,0.727375416891,0.0641720889235113,0.54660315648514,0.0621971155513864,0.484406040933754,0.484406040933754
"9","103","Blocked","1back",0.902807156350728,0.910100213689421,0.0971928436492718,0.0898997863105789,0.0927549576842401,0.0860857528497817,0.00666920483445836,0.00666920483445836
"10","103","Blocked","2back",0.82815941953622,0.846515363341261,0.17184058046378,0.153484636658739,0.158575658407718,0.142787479651547,0.0157881787561708,0.0157881787561708
"11","103","Blocked","3back",0.737837473567399,0.76382911664401,0.262162526432601,0.23617088335599,0.232826540638856,0.212018604621525,0.020807936017331,0.020807936017331
"12","103","Blocked","4back",0.654632794878578,0.692148078874663,0.345367205121422,0.307851921125337,0.296666990752165,0.268386036477429,0.0282809542747359,0.0282809542747359
"13","104","Random","1back",0.99549242668154,0.999325062484999,0.00450757331845997,0.000674937515001361,0.00449744463563067,0.000674709847111979,0.00382273478851869,0.00382273478851869
"14","104","Random","2back",0.978078538700618,0.99076996878549,0.0219214612993822,0.00923003121450972,0.0216846407848931,0.00918769478802807,0.012496945996865,0.012496945996865
"15","104","Random","3back",0.955911671670564,0.979481860401839,0.0440883283294359,0.0205181395981605,0.0431440915611247,0.0203104783162142,0.0228336132449106,0.0228336132449106
"16","104","Random","4back",0.92763505252986,0.954086741137071,0.0723649474701397,0.0459132588629291,0.0698664407862902,0.0448904356868611,0.0249760050994291,0.0249760050994291
"17","105","Blocked","1back",0.994983512326528,0.994595068606158,0.00501648767347163,0.00540493139384202,0.00500394702171346,0.00539037717165117,-0.000386430149937709,-0.000386430149937709
"18","105","Blocked","2back",0.975936578360352,0.975712581070676,0.0240634216396481,0.0242874189293237,0.0237784598943798,0.0239971697815069,-0.000218709887127036,-0.000218709887127036
"19","105","Blocked","3back",0.958499981305507,0.954921593823738,0.0415000186944933,0.0450784061762617,0.0406619996684748,0.0440919124359204,-0.00342991276744554,-0.00342991276744554
"20","105","Blocked","4back",0.943275441935813,0.93425314143732,0.056724558064187,0.0657468585626805,0.0551740845318703,0.0636758290282312,-0.00850174449636085,-0.00850174449636085
