"","participant","group","label","det","phase_space","lag"
"87","111","Blocked","det_3back_trial",0.896074696834155,"trial","3back"
"88","111","Blocked","det_4back_trial",0.850704597787529,"trial","4back"
"89","112","Random","det_1back_target",0.988997075510234,"target","1back"
"90","112","Random","det_2back_target",0.970258007224572,"target","2back"
"91","112","Random","det_3back_target",0.933636169698163,"target","3back"
"92","112","Random","det_4back_target",0.890201984783097,"target","4back"
"93","112","Random","det_1back_trial",0.993661097527456,"trial","1back"
"94","112","Random","det_2back_trial",0.986294932474221,"trial","2back"
"95","112","Random","det_3back_trial",0.94691028848164,"trial","3back"
"96","112","Random","det_4back_trial",0.89698342964039,"trial","4back"
"97","113","Blocked","det_1back_target",0.999998874464714,"target","1back"
"98","113","Blocked","det_2back_target",0.99955194437105,"target","2back"
"99","113","Blocked","det_3back_target",0.98025781603773,"target","3back"
"100","113","Blocked","det_4back_target",0.951645567674202,"target","4back"
"101","113","Blocked","det_1back_trial",0.999988194456367,"trial","1back"
"102","113","Blocked","det_2back_trial",0.999151653150102,"trial","2back"
"103","113","Blocked","det_3back_trial",0.971679749544376,"trial","3back"
"104","113","Blocked","det_4back_trial",0.933144141820605,"trial","4back"
"105","114","Random","det_1back_target",0.996230486462556,"target","1back"
"106","114","Random","det_2back_target",0.982441466869152,"target","2back"
"107","114","Random","det_3back_target",0.963172155987904,"target","3back"
"108","114","Random","det_4back_target",0.944012011406059,"target","4back"
"109","114","Random","det_1back_trial",0.983734451916771,"trial","1back"
"110","114","Random","det_2back_trial",0.954520474857917,"trial","2back"
"111","114","Random","det_3back_trial",0.924723275914953,"trial","3back"
"112","114","Random","det_4back_trial",0.86977419235062,"trial","4back"
"113","115","Blocked","det_1back_target",0.994462241336729,"target","1back"
"114","115","Blocked","det_2back_target",0.955178675201309,"target","2back"
"115","115","Blocked","det_3back_target",0.903843649899591,"target","3back"
"116","115","Blocked","det_4back_target",0.844906458191217,"target","4back"
"117","115","Blocked","det_1back_trial",0.992833380202464,"trial","1back"
"118","115","Blocked","det_2back_trial",0.955550575293019,"trial","2back"
"119","115","Blocked","det_3back_trial",0.919742816504439,"trial","3back"
"120","115","Blocked","det_4back_trial",0.878651850257967,"trial","4back"
"121","116","Random","det_1back_target",0.905541495527532,"target","1back"
"122","116","Random","det_2back_target",0.818536749071734,"target","2back"
"123","116","Random","det_3back_target",0.69542480252679,"target","3back"
"124","116","Random","det_4back_target",0.583064854280216,"target","4back"
"125","116","Random","det_1back_trial",0.976524135438545,"trial","1back"
"126","116","Random","det_2back_trial",0.910359524920997,"trial","2back"
"127","116","Random","det_3back_trial",0.851908173796697,"trial","3back"
"128","116","Random","det_4back_trial",0.805428148445368,"trial","4back"
"129","117","Blocked","det_1back_target",0.975630148682289,"target","1back"
"130","117","Blocked","det_2back_target",0.964669652138811,"target","2back"
"131","117","Blocked","det_3back_target",0.940039579277706,"target","3back"
"132","117","Blocked","det_4back_target",0.918700130079882,"target","4back"
"133","117","Blocked","det_1back_trial",0.978854825595228,"trial","1back"
"134","117","Blocked","det_2back_trial",0.969826972925407,"trial","2back"
"135","117","Blocked","det_3back_trial",0.950877648718731,"trial","3back"
"136","117","Blocked","det_4back_trial",0.933024805718744,"trial","4back"
"137","118","Random","det_1back_target",0.970745793038223,"target","1back"
"138","118","Random","det_2back_target",0.927438251413237,"target","2back"
"139","118","Random","det_3back_target",0.869508368204196,"target","3back"
"140","118","Random","det_4back_target",0.788941978190831,"target","4back"
"141","118","Random","det_1back_trial",0.948543173824849,"trial","1back"
"142","118","Random","det_2back_trial",0.902780914497375,"trial","2back"
"143","118","Random","det_3back_trial",0.863136411033475,"trial","3back"
"144","118","Random","det_4back_trial",0.830520920988997,"trial","4back"
"145","119","Blocked","det_1back_target",0.973963399999664,"target","1back"
"146","119","Blocked","det_2back_target",0.943148269379778,"target","2back"
"147","119","Blocked","det_3back_target",0.876424375297117,"target","3back"
"148","119","Blocked","det_4back_target",0.815265458629507,"target","4back"
"149","119","Blocked","det_1back_trial",0.969648749855257,"trial","1back"
"150","119","Blocked","det_2back_trial",0.936500780548281,"trial","2back"
"151","119","Blocked","det_3back_trial",0.884140482922368,"trial","3back"
"152","119","Blocked","det_4back_trial",0.831817048413963,"trial","4back"
"153","120","Random","det_1back_target",0.98480865927006,"target","1back"
"154","120","Random","det_2back_target",0.963376557441943,"target","2back"
"155","120","Random","det_3back_target",0.940317836320526,"target","3back"
"156","120","Random","det_4back_target",0.916428688713051,"target","4back"
"157","120","Random","det_1back_trial",0.995143101049466,"trial","1back"
"158","120","Random","det_2back_trial",0.990332391310321,"trial","2back"
"159","120","Random","det_3back_trial",0.969511476661578,"trial","3back"
"160","120","Random","det_4back_trial",0.94754581066266,"trial","4back"
"161","121","Blocked","det_1back_target",0.890051748131349,"target","1back"
"162","121","Blocked","det_2back_target",0.763485397109857,"target","2back"
"163","121","Blocked","det_3back_target",0.663191681708501,"target","3back"
"164","121","Blocked","det_4back_target",0.564361508529103,"target","4back"
"165","121","Blocked","det_1back_trial",0.88774835765577,"trial","1back"
"166","121","Blocked","det_2back_trial",0.764444061517467,"trial","2back"
"167","121","Blocked","det_3back_trial",0.664025596947012,"trial","3back"
"168","121","Blocked","det_4back_trial",0.569816558252817,"trial","4back"
"169","122","Random","det_1back_target",0.936318037871347,"target","1back"
"170","122","Random","det_2back_target",0.872907590484393,"target","2back"
"171","122","Random","det_3back_target",0.793486998787286,"target","3back"
"172","122","Random","det_4back_target",0.718731376204337,"target","4back"
"173","122","Random","det_1back_trial",0.947459557940089,"trial","1back"
"174","122","Random","det_2back_trial",0.868984540980755,"trial","2back"
"175","122","Random","det_3back_trial",0.795698471117839,"trial","3back"
"176","122","Random","det_4back_trial",0.718060512470007,"trial","4back"
"177","123","Random","det_1back_target",0.990035850898526,"target","1back"
"178","123","Random","det_2back_target",0.958166838398242,"target","2back"
"179","123","Random","det_3back_target",0.909241074247629,"target","3back"
"180","123","Random","det_4back_target",0.854836051032527,"target","4back"
"181","123","Random","det_1back_trial",0.997852684087109,"trial","1back"
"182","123","Random","det_2back_trial",0.988014492212666,"trial","2back"
"183","123","Random","det_3back_trial",0.954658643988546,"trial","3back"
"184","123","Random","det_4back_trial",0.914876610496716,"trial","4back"
"185","124","Blocked","det_1back_target",0.99732913994533,"target","1back"
"186","124","Blocked","det_2back_target",0.993412138211256,"target","2back"
"187","124","Blocked","det_3back_target",0.947653916293261,"target","3back"
"188","124","Blocked","det_4back_target",0.901385967351607,"target","4back"
"189","124","Blocked","det_1back_trial",0.997887035264156,"trial","1back"
"190","124","Blocked","det_2back_trial",0.995005879864941,"trial","2back"
"191","124","Blocked","det_3back_trial",0.952042834644789,"trial","3back"
"192","124","Blocked","det_4back_trial",0.90652489478299,"trial","4back"
"193","125","Blocked","det_1back_target",0.984780552631546,"target","1back"
"194","125","Blocked","det_2back_target",0.972458229310705,"target","2back"
"195","125","Blocked","det_3back_target",0.899346971744485,"target","3back"
"196","125","Blocked","det_4back_target",0.824740215452433,"target","4back"
"197","125","Blocked","det_1back_trial",0.985184637118001,"trial","1back"
"198","125","Blocked","det_2back_trial",0.972174304791378,"trial","2back"
"199","125","Blocked","det_3back_trial",0.914428635952837,"trial","3back"
"200","125","Blocked","det_4back_trial",0.855256357300157,"trial","4back"
"201","126","Random","det_1back_target",0.84528344430695,"target","1back"
"202","126","Random","det_2back_target",0.690243217111893,"target","2back"
"203","126","Random","det_3back_target",0.556997519506619,"target","3back"
"204","126","Random","det_4back_target",0.456622132836287,"target","4back"
"205","126","Random","det_1back_trial",0.983650491533602,"trial","1back"
"206","126","Random","det_2back_trial",0.948425079085345,"trial","2back"
"207","126","Random","det_3back_trial",0.904787907982014,"trial","3back"
"208","126","Random","det_4back_trial",0.847271976494589,"trial","4back"
"209","127","Blocked","det_1back_target",0.994159588531328,"target","1back"
"210","127","Blocked","det_2back_target",0.934281472770479,"target","2back"
"211","127","Blocked","det_3back_target",0.88868796274063,"target","3back"
"212","127","Blocked","det_4back_target",0.844135347389286,"target","4back"
"213","127","Blocked","det_1back_trial",0.99516687902723,"trial","1back"
"214","127","Blocked","det_2back_trial",0.939006835210273,"trial","2back"
